# Time-averaged data for fix msd
# TimeStep c_msd[4]
1400000 580.952
1410000 792.929
1420000 950.676
1430000 1211.27
1440000 1298.61
1450000 1480.84
1460000 1675.62
1470000 1787.78
1480000 1970.78
1490000 2113.4
1500000 2149.22
1510000 2219.87
1520000 2195.98
1530000 2149.94
1540000 2074.47
1550000 2101.61
1560000 2253
1570000 2334.19
1580000 2413.03
1590000 2425.74
1600000 2364.31
1610000 2285.51
1620000 2367.6
1630000 2524.6
1640000 2587.24
1650000 2532.52
1660000 2592.93
1670000 2708.38
1680000 2768.95
1690000 2779.54
1700000 2914.87
1710000 2901.54
1720000 3132.2
1730000 3046.67
1740000 3026.42
1750000 3216.11
1760000 3261.85
1770000 3218.19
1780000 3031.48
1790000 2841.46
1800000 2874.67
1810000 3079.21
1820000 3118.74
1830000 3296.19
1840000 3380.15
1850000 3391.06
1860000 3479.89
1870000 3644.63
1880000 4044.65
1890000 4273.06
1900000 4289.23
1910000 4132.14
1920000 4102.99
1930000 4163.22
1940000 4150.87
1950000 4033.77
1960000 4055.1
1970000 4143.66
1980000 4124.98
1990000 4283.55
2000000 4445.72
2010000 4385.92
2020000 4616.72
2030000 4874.93
2040000 4901.14
2050000 4923
2060000 4955.73
2070000 5288.33
2080000 5277.74
2090000 5267.83
2100000 5503.84
2110000 5647.59
2120000 5644.72
2130000 5710.02
2140000 5508.79
2150000 5825.72
2160000 5693.83
2170000 5389.61
2180000 5275.02
2190000 5438.99
2200000 5460.53
2210000 5611.69
2220000 5763.38
2230000 5805.08
2240000 5799.85
2250000 5850.73
2260000 6048.49
2270000 6495.97
2280000 6424.92
2290000 6572.84
2300000 6612.17
2310000 6803.39
2320000 7163.67
2330000 7271.28
2340000 7129.19
2350000 7281.13
2360000 7066.67
2370000 6754.42
2380000 6498.77
2390000 6652.43
2400000 6836.72
2410000 7021.49
2420000 7086.57
2430000 7160.44
2440000 7148.32
2450000 7177.08
2460000 7335.51
2470000 7340
2480000 7369.61
2490000 7343.42
2500000 7240.31
2510000 7095.59
2520000 7081.17
2530000 7300.68
2540000 7512.72
2550000 7400.29
2560000 7459.72
2570000 7474.56
2580000 7712.08
2590000 7705.57
2600000 7496.48
2610000 7384.1
2620000 7340.79
2630000 7337.16
2640000 7498.68
2650000 7442.3
2660000 7426.41
2670000 7617.04
2680000 7688.67
2690000 7755.31
2700000 7880.23
2710000 8008.99
2720000 7780.37
2730000 7705.32
2740000 7845.16
2750000 7726.94
2760000 7955.56
2770000 8317.01
2780000 8329.53
2790000 8011.35
2800000 8222.76
2810000 8144.03
2820000 8024.79
2830000 7980.44
2840000 7989.6
2850000 8092.15
2860000 8057.09
2870000 8012.69
2880000 8313.79
2890000 8155.57
2900000 8225.22
2910000 8276.25
2920000 8478.78
2930000 8352.46
2940000 8166.62
2950000 8282.92
2960000 8187.14
2970000 8154.65
2980000 8201.68
2990000 7980.04
3000000 8141.36
3010000 8111.51
3020000 8367.54
3030000 8490.27
3040000 8499.01
3050000 8353.02
3060000 8176.03
3070000 8053.98
3080000 8220.06
3090000 8205.64
3100000 8095.01
3110000 8244.7
3120000 8377.33
3130000 8191.28
3140000 8324.81
3150000 8165.16
3160000 8277.12
3170000 8432.58
3180000 8616.72
3190000 8829.21
3200000 8849.41
3210000 8864.67
3220000 8858.83
3230000 8892.65
3240000 8981.55
3250000 9091.36
3260000 9200.62
3270000 9148.37
3280000 9012.23
3290000 9190.74
3300000 9604.33
3310000 9711.16
3320000 9898.09
3330000 9622.68
3340000 9756.29
3350000 9749.43
3360000 10243
3370000 10609.2
3380000 10852.6
3390000 10714.2
3400000 10589.8
3410000 10649.6
3420000 10733.5
3430000 10725.5
3440000 10620.1
3450000 10331.7
3460000 10073.6
